TABLE_CATALOG,TABLE_SCHEMA,NOM_TABLA,NOM_CAMP,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_NAME,COLLATION_NAME,COLUMN_TYPE,COLUMN_KEY,EXTRA,PRIVILEGES,COLUMN_COMMENT,GENERATION_EXPRESSION,SRS_ID
def,sniiv,archivo_curp,id,1,,NO,int,,,10,0,,,,int,PRI,auto_increment,"select,insert,update,references","","",
def,sniiv,archivo_curp,archivo,2,,YES,varchar,250,750,,,,utf8,utf8_spanish_ci,varchar(250),"","","select,insert,update,references","","",
def,sniiv,archivo_curp,fecha,3,,YES,datetime,,,,,0,,,datetime,"","","select,insert,update,references","","",
def,sniiv,archivo_curp,estatus,4,,YES,int,,,10,0,,,,int,"","","select,insert,update,references","","",
def,sniiv,archivo_curp,id_usuario,5,,YES,int,,,10,0,,,,int,MUL,"","select,insert,update,references","","",
def,sniiv,archivo_prnv,id,1,,NO,int,,,10,0,,,,int unsigned,PRI,auto_increment,"select,insert,update,references","","",
def,sniiv,archivo_prnv,id_proyecto,2,,NO,int,,,10,0,,,,int,MUL,"","select,insert,update,references","","",
def,sniiv,archivo_prnv,url,3,,YES,varchar,100,300,,,,utf8,utf8_spanish_ci,varchar(100),"","","select,insert,update,references","","",
def,sniiv,archivo_prnv,id_tipo,4,,NO,int,,,10,0,,,,int unsigned,MUL,"","select,insert,update,references","","",
def,sniiv,archivo_prnv_bk,id,1,0,NO,int,,,10,0,,,,int unsigned,"","","select,insert,update,references","","",
def,sniiv,archivo_prnv_bk,id_proyecto,2,,NO,int,,,10,0,,,,int,"","","select,insert,update,references","","",
def,sniiv,archivo_prnv_bk,url,3,,YES,varchar,100,300,,,,utf8,utf8_spanish_ci,varchar(100),"","","select,insert,update,references","","",
def,sniiv,archivo_prnv_bk,id_tipo,4,,NO,int,,,10,0,,,,int unsigned,"","","select,insert,update,references","","",
def,sniiv,arthur,id,1,0,NO,int,,,10,0,,,,int unsigned,"","","select,insert,update,references","","",
def,sniiv,arthur,fecha_aprobacion_comite_financiamiento,2,,YES,date,,,,,,,,date,"","","select,insert,update,references","","",
def,sniiv,arthur,numero_comite_financiamiento,3,,YES,varchar,35,105,,,,utf8,utf8_bin,varchar(35),"","","select,insert,update,references","","",
def,sniiv,arthur,id_programa_presupuestal,4,,YES,int,,,10,0,,,,int unsigned,"","","select,insert,update,references","","",
def,sniiv,arthur,partida_presupuestal,5,,YES,char,5,15,,,,utf8,utf8_bin,char(5),"","","select,insert,update,references","","",
def,sniiv,arthur,unidad_medida,6,,YES,varchar,25,75,,,,utf8,utf8_bin,varchar(25),"","","select,insert,update,references","","",
def,sniiv,arthur,id_modalidad,7,,YES,int,,,10,0,,,,int unsigned,"","","select,insert,update,references","","",
def,sniiv,arthur,id_linea_apoyo,8,,NO,int,,,10,0,,,,int unsigned,"","","select,insert,update,references","","",
def,sniiv,arthur,id_vertiente,9,,YES,int,,,10,0,,,,int unsigned,"","","select,insert,update,references","","",
def,sniiv,arthur,clave_entidad_federativa,10,,YES,char,2,6,,,,utf8,utf8_spanish_ci,char(2),"","","select,insert,update,references","","",
def,sniiv,arthur,clave_municipio,11,,YES,char,3,9,,,,utf8,utf8_spanish_ci,char(3),"","","select,insert,update,references","","",
def,sniiv,arthur,clave_localidad,12,,YES,char,4,12,,,,utf8,utf8_bin,char(4),"","","select,insert,update,references","","",
