pk_name,NOM_CAMP,NOM_TABLA
PRIMARY,id,archivo_curp
PRIMARY,id,archivo_prnv
PRIMARY,id,banjercito
PRIMARY,id,beneficiario_explosion_insumo
PRIMARY,id,beneficiario_insumo
PRIMARY,id,beneficiario_paquete_insumo
PRIMARY,clave,c_asistente_tecnico_insumo
PRIMARY,id,c_avance_obra
PRIMARY,id,c_categoria_prnv
PRIMARY,id,c_clima
PRIMARY,id,c_comite_insumo
PRIMARY,id,c_constante
PRIMARY,id,c_constructor_insumo
PRIMARY,clave,c_constructor_insumo
PRIMARY,id,c_criterio_evaluacion
PRIMARY,id,c_dc
PRIMARY,id,c_derechohabiente_presidencia
PRIMARY,id,c_desarrollador
PRIMARY,id,c_desarrollador_fovissste
PRIMARY,id,c_destino_credito
PRIMARY,id,c_ee
PRIMARY,descripcion,c_ee
PRIMARY,id,c_ee_bak
PRIMARY,id,c_elemento_vivienda_prnv
PRIMARY,clave,c_entidad_cofinanciamiento
PRIMARY,clave,c_entidad_federativa
PRIMARY,id,c_escolaridad_pnv
PRIMARY,id,c_esquema_cnbv
PRIMARY,id,c_esquema_conavi
PRIMARY,id,c_esquema_fonhapo
PRIMARY,id,c_esquema_fovissste
PRIMARY,id,c_esquema_infonavit
PRIMARY,id,c_esquema_invi
PRIMARY,clave,c_estado_civil
PRIMARY,id,c_estatus_programas_conavi
PRIMARY,id,c_estatus_vivienda
PRIMARY,id,c_explosion_insumo
PRIMARY,codigo,c_explosion_insumo_grupo
PRIMARY,id,c_genero
PRIMARY,id,c_grupo_organismo
PRIMARY,id,c_grupo_promotor
PRIMARY,id,c_grupo_sisevive
PRIMARY,clave,c_intermediario_financiero_cnbv
PRIMARY,id,c_intermediario_financiero_fovissste
PRIMARY,id,c_intermediario_financiero_habitat
PRIMARY,id,c_intermediario_financiero_infonavit
PRIMARY,id,c_linea_apoyo_presidencia
PRIMARY,id,c_linea_credito_banjercito
PRIMARY,id,c_linea_credito_cfe
PRIMARY,id,c_linea_credito_cnbv
PRIMARY,id,c_linea_credito_fovissste
PRIMARY,id,c_linea_credito_fovissste2
PRIMARY,id,c_linea_credito_habitat
PRIMARY,id,c_linea_credito_infonavit
